MarketTrendID,ProductGroupID,TrendDescription,TrendDate,TrendType,Region,SalesImpact,CustomerFeedback,CompetitorActions,IndustryNews,CreatedBy,CreatedDate
1,4,Growth in subscription services,2020-01-01,Positive,Latin America,-8.58,High engagement on social media,Offered discounts,Market research findings,User5,2021-06-05
2,8,Rising interest in home automation,2023-06-14,Negative,North America,2.9,Mixed reviews on product quality,Lowered prices,Economic impacts,User3,2021-01-19
3,9,Increased focus on cybersecurity,2021-08-06,Positive,Asia-Pacific,2.92,Increased brand loyalty,Opened new stores,Economic impacts,User1,2020-07-24
4,6,Growing popularity of wearable tech,2021-05-25,Negative,North America,1.05,Appreciation for product innovation,Launched new product line,Mergers and acquisitions,User3,2023-12-21
5,1,Rising interest in home automation,2020-03-15,Neutral,Middle East and Africa,-2.96,Positive response from customers,Enhanced product quality,Technological advancements,User3,2020-09-10
6,1,Increased focus on cybersecurity,2021-10-11,Positive,Latin America,4.53,Concerns about delivery times,Partnered with influencers,Market growth projections,User2,2023-06-08
7,4,Growing popularity of wearable tech,2022-05-26,Positive,Europe,5.67,High satisfaction with customer service,Improved customer service,Government policies,User4,2023-02-07
8,4,Increased demand for eco-friendly products,2022-11-10,Positive,Europe,9.87,Requests for more features,Enhanced product quality,Market research findings,User1,2021-01-12
9,8,Growth in e-commerce platforms,2023-09-27,Positive,Latin America,-0.39,Requests for more features,Improved customer service,New regulations introduced,User2,2023-05-28
10,3,Higher adoption of 5G technology,2021-01-25,Neutral,Latin America,7.62,High engagement on social media,Improved customer service,Mergers and acquisitions,User1,2023-02-10
11,9,Shift towards online shopping,2021-06-15,Positive,Latin America,-6.61,Negative feedback on pricing,Introduced new features,Market growth projections,User1,2022-02-07
12,3,Growth in e-commerce platforms,2022-03-06,Negative,Latin America,8.27,Appreciation for product innovation,Expanded to new regions,Launch of innovative products,User5,2022-02-27
13,1,Increased focus on cybersecurity,2023-09-01,Positive,Europe,1.67,Appreciation for product innovation,Invested in marketing,Market growth projections,User5,2023-03-31
14,9,Growth in e-commerce platforms,2023-01-30,Negative,Latin America,3.23,Negative feedback on pricing,Invested in marketing,Technological advancements,User5,2020-05-24
15,9,Increased demand for eco-friendly products,2022-12-13,Negative,Asia-Pacific,0.66,Appreciation for product innovation,Lowered prices,Mergers and acquisitions,User2,2023-08-04
16,1,Increased focus on cybersecurity,2021-10-07,Positive,Asia-Pacific,1.85,Mixed reviews on product quality,Invested in marketing,Economic impacts,User2,2023-12-09
17,8,Growth in subscription services,2022-04-14,Positive,Latin America,4.09,Negative feedback on pricing,Launched new product line,New regulations introduced,User1,2020-05-26
18,2,Expansion of virtual reality market,2020-04-16,Neutral,Middle East and Africa,0.88,Positive reviews from tech influencers,Expanded to new regions,Industry awards,User3,2023-12-25
19,7,Increased demand for eco-friendly products,2020-08-18,Neutral,Latin America,4.11,Mixed reviews on product quality,Offered discounts,Market growth projections,User1,2023-01-09
20,9,Increased demand for eco-friendly products,2023-05-11,Negative,North America,1.65,Concerns about delivery times,Invested in marketing,Launch of innovative products,User5,2021-04-22
21,5,Shift towards online shopping,2021-03-19,Positive,Europe,-8.81,Positive response from customers,Invested in marketing,Environmental initiatives,User1,2023-10-16
