AccessID,CustomerID,AccessDate,PageVisited,Duration,DeviceType,Browser,IPAddress,Referrer,LandingPage,ExitPage,Clicks,Conversions
1,62,2023-07-19 00:00:00,About,288,Mobile,Chrome,192.168.41.213,Direct,Home,SignUp,7,0
2,56,2020-09-19 00:00:00,Blog,1852,Tablet,Firefox,192.168.198.186,Instagram,Landing,Checkout,12,1
3,69,2022-04-05 00:00:00,Checkout,2991,Desktop,Chrome,192.168.236.238,Direct,Home,Cart,7,1
4,8,2023-02-08 00:00:00,About,1351,Mobile,Firefox,192.168.21.211,Facebook,Landing,SignUp,18,0
5,33,2022-03-04 00:00:00,About,110,Desktop,Edge,192.168.0.119,Facebook,SignUp,Product,3,1
6,71,2022-08-20 00:00:00,Terms,15,Tablet,Chrome,192.168.70.202,Email,Home,Product,4,1
7,88,2020-01-20 00:00:00,About,944,Desktop,Firefox,192.168.168.57,Direct,Landing,Home,19,1
8,43,2021-08-09 00:00:00,Home,179,Tablet,Chrome,192.168.141.138,Facebook,SignUp,Cart,19,0
9,55,2021-05-13 00:00:00,FAQ,370,Mobile,Edge,192.168.14.144,Facebook,Product,Cart,12,0
10,91,2021-05-28 00:00:00,FAQ,584,Mobile,Safari,192.168.18.221,Direct,Product,Checkout,18,1
11,23,2021-02-05 00:00:00,About,1216,Mobile,Safari,192.168.61.56,Direct,Home,Product,14,1
12,9,2022-10-31 00:00:00,Blog,1853,Desktop,Edge,192.168.44.110,Facebook,Home,SignUp,15,0
13,99,2020-08-29 00:00:00,Terms,2392,Mobile,Firefox,192.168.145.163,Google,Product,SignUp,20,0
14,25,2022-09-27 00:00:00,Contact,2894,Desktop,Firefox,192.168.149.216,Direct,Landing,Cart,13,1
15,15,2021-06-05 00:00:00,FAQ,840,Mobile,Safari,192.168.65.39,Facebook,Promotion,SignUp,9,0
16,87,2021-07-16 00:00:00,Product,290,Mobile,Firefox,192.168.147.159,Instagram,Promotion,Cart,1,1
17,46,2020-06-19 00:00:00,Privacy,146,Tablet,Opera,192.168.187.28,Google,Landing,Cart,8,0
18,52,2022-08-18 00:00:00,Home,661,Desktop,Edge,192.168.128.39,Email,Landing,Product,18,0
19,32,2023-03-24 00:00:00,Privacy,751,Mobile,Chrome,192.168.18.28,Google,SignUp,Home,7,0
20,49,2021-04-17 00:00:00,Blog,1064,Mobile,Chrome,192.168.210.123,Instagram,SignUp,Checkout,2,0
21,45,2021-02-15 00:00:00,Home,2183,Tablet,Safari,192.168.194.241,Twitter,Landing,SignUp,7,0
22,37,2023-06-24 00:00:00,Terms,1345,Desktop,Chrome,192.168.166.134,Google,Landing,Checkout,18,0
23,56,2020-02-18 00:00:00,Terms,219,Desktop,Safari,192.168.38.137,LinkedIn,Home,Checkout,9,1
24,17,2023-09-06 00:00:00,Terms,1787,Tablet,Safari,192.168.179.209,Facebook,Home,Cart,6,1
25,58,2020-03-30 00:00:00,Product,2764,Desktop,Opera,192.168.168.147,LinkedIn,Product,Home,15,0
26,90,2023-07-23 00:00:00,About,857,Desktop,Opera,192.168.248.38,LinkedIn,Home,Checkout,9,1
27,63,2023-11-14 00:00:00,Blog,2764,Mobile,Opera,192.168.126.181,Facebook,SignUp,Checkout,5,0
28,22,2021-04-15 00:00:00,Blog,844,Mobile,Chrome,192.168.96.147,Google,Product,Cart,20,0
29,45,2020-01-03 00:00:00,About,1310,Desktop,Safari,192.168.213.143,Instagram,Home,Cart,19,0
30,64,2023-08-09 00:00:00,Terms,431,Mobile,Opera,192.168.153.106,Instagram,Landing,Cart,17,1
31,21,2022-02-28 00:00:00,Product,520,Tablet,Edge,192.168.32.204,Facebook,Landing,Checkout,1,1
32,28,2022-05-31 00:00:00,FAQ,2729,Tablet,Edge,192.168.154.199,LinkedIn,Landing,Product,9,0
33,28,2022-08-06 00:00:00,Product,1160,Mobile,Opera,192.168.45.206,Facebook,Promotion,Cart,15,1
34,63,2021-02-06 00:00:00,Product,687,Tablet,Firefox,192.168.223.21,Facebook,Promotion,Checkout,14,1
35,49,2020-02-09 00:00:00,Checkout,1308,Mobile,Chrome,192.168.203.134,LinkedIn,SignUp,SignUp,15,0
36,85,2021-11-07 00:00:00,Checkout,2335,Tablet,Safari,192.168.222.154,Google,Promotion,Cart,12,0
37,65,2023-05-24 00:00:00,Terms,1398,Desktop,Firefox,192.168.232.215,Twitter,SignUp,Checkout,15,0
38,87,2020-03-21 00:00:00,Home,2254,Desktop,Firefox,192.168.252.166,Twitter,Product,Checkout,19,0
39,91,2021-01-08 00:00:00,About,1401,Mobile,Edge,192.168.67.148,Direct,Home,Product,17,0
40,31,2022-04-20 00:00:00,Product,2240,Mobile,Safari,192.168.65.249,Twitter,SignUp,Product,5,1
41,13,2021-01-30 00:00:00,Home,598,Mobile,Firefox,192.168.195.77,Direct,Promotion,Cart,5,1
42,10,2023-11-18 00:00:00,Terms,830,Desktop,Edge,192.168.135.244,Facebook,Promotion,Home,6,0
43,52,2020-06-28 00:00:00,Home,2492,Tablet,Firefox,192.168.115.116,Instagram,Home,Cart,12,1
44,13,2022-05-03 00:00:00,About,1728,Tablet,Chrome,192.168.99.107,LinkedIn,Landing,Checkout,2,0
45,44,2021-05-26 00:00:00,Blog,1736,Mobile,Chrome,192.168.55.233,Email,Home,Cart,8,0
46,66,2023-05-31 00:00:00,Home,2515,Mobile,Opera,192.168.89.3,Google,Promotion,SignUp,6,0
47,93,2023-01-17 00:00:00,Contact,2737,Desktop,Firefox,192.168.221.159,Email,SignUp,SignUp,15,0
48,32,2023-11-25 00:00:00,Contact,2389,Desktop,Firefox,192.168.37.178,Facebook,Promotion,Cart,16,0
49,14,2021-05-22 00:00:00,Privacy,2296,Tablet,Safari,192.168.8.82,Facebook,Home,Checkout,8,1
50,49,2021-02-18 00:00:00,About,2949,Desktop,Chrome,192.168.209.43,Facebook,Promotion,Home,13,0
51,10,2021-08-07 00:00:00,FAQ,1867,Tablet,Chrome,192.168.107.189,Facebook,SignUp,Cart,5,1
52,98,2021-01-28 00:00:00,Checkout,2103,Mobile,Opera,192.168.65.94,Instagram,Promotion,Home,1,0
53,24,2020-10-21 00:00:00,Home,2310,Desktop,Edge,192.168.184.146,Instagram,Landing,Checkout,18,1
54,70,2021-09-22 00:00:00,Terms,791,Mobile,Safari,192.168.197.136,Instagram,Home,Home,10,0
55,97,2020-08-08 00:00:00,Privacy,721,Desktop,Edge,192.168.161.175,Instagram,Landing,SignUp,5,1
